keyword,title,url,source_credibility,materiality_score,pickup_count,sentiment_score,final_score
"bitcoin","Income strategy for 2026: Get out of cash, but don't take too much risk, says Wells Fargo - CNBC","https://www.cnbc.com/2025/12/12/wells-fargo-bond-outlook.html",0.85,0,0,0,26.4
"bitcoin","There's still time to maximize the 0% capital gains bracket for 2025. Here's what to know - CNBC","https://www.cnbc.com/2025/12/12/capital-gains-tax-bracket-2025.html",0.85,0,0,0,26.4
"bitcoin","OCC Greenlights Ripple, Circle, Paxos, BitGo, Fidelity As Crypto Banks - Forbes","https://www.forbes.com/sites/jasonbrett/2025/12/13/occ-greenlights-ripple-circle-paxos-bitgo-fidelity-as-crypto-banks/",0.85,0.75,0,0.2,71.4
"bitcoin","Saylor’s Plan To Build A Bitcoin Powered Shadow Central Bank - Forbes","https://www.forbes.com/sites/digital-assets/2025/12/11/saylors-plan-to-build-a-bitcoin-powered-shadow-central-bank/",0.85,0.8333,0,0.2,76.4
"bitcoin","ETFs in the Crossfire Amid Bitcoin’s Growing Self-Custody Debate - Yahoo Finance","https://finance.yahoo.com/news/etfs-crossfire-amid-bitcoin-growing-215004125.html",0.8,0.6667,0,0.1,65.6
"bitcoin","There's no Dow or S&P 500 for cryptocurrencies yet. Bitwise is getting a step closer with new ETF - CNBC","https://www.cnbc.com/2025/12/09/theres-no-dow-or-sp-500-for-cryptocurrencies-yet-bitwise-is-getting-a-step-closer-with-new-etf.html",0.85,0.6667,0,0.3,66.4
"bitcoin","Is an ETF Safer than an Exchange for Bitcoin? - BeInCrypto","https://beincrypto.com/etfs-crossfire-bitcoin-self-custody-debate/",0.5,0.75,0,0.2,65.8
"bitcoin","Crypto SWOT: XRP ETFs continue to post record inflows, signaling rising institutional adoption - KITCO","https://www.kitco.com/opinion/2025-12-08/crypto-swot-xrp-etfs-continue-post-record-inflows-signaling-rising-institutional",0.5,0.5833,0,0.25,55.8
"bitcoin","Bitcoin (BTC) Price: Why Tuesday’s FOMC Decision Could Spark a Major Move? - InsuranceNewsNet","https://insurancenewsnet.com/oarticle/bitcoin-btc-price-why-tuesdays-fomc-decision-could-spark-a-major-move",0.5,0.5,0,-0.1,50.8
"bitcoin","Circle Receives Conditional Approval from OCC for National Trust Charter - Circle Internet","https://www.circle.com/pressroom/circle-receives-conditional-approval-from-occ-for-national-trust-charter",0.5,0.6667,0,0.3,60.8
"rare earth","Visualizing the origin of picosecond quantum transients - Nature","https://www.nature.com/articles/s41565-025-02097-7",0.99,0,0,0,28.64
"rare earth","Column: Maritime logistics at the sharp end of the critical minerals race - Mining.com","https://www.mining.com/column-maritime-logistics-at-the-sharp-end-of-the-critical-minerals-race/",0.95,0.8333,0,-0.2,78
"rare earth","How to submit | Separation technologies for critical materials - Nature","https://www.nature.com/collections/dhjbcjaged/how-to-submit",0.99,0,0,0,28.64
"rare earth","Energy Storage is Playing a Bigger Role in Lithium Market | Storage systems account for an increasing share of demand, though electric vehicles remain the biggest consumer - Mining.com","https://www.mining.com/web/lithium-may-get-much-needed-demand-boost-from-battery-storage/energy-storage-is-playing-a-bigger-role-in-lithium-market-storage-systems-account-for-an-increasing-share-of-demand-though-electric-vehicles-remain-the-biggest-consumer/",0.95,0,0,0,28
"rare earth","Lithium Set for Demand Boost From Energy Storage | Analysts sees faster growth from storage systems, though from lower base - Mining.com","https://www.mining.com/web/lithium-may-get-much-needed-demand-boost-from-battery-storage/lithium-set-for-demand-boost-from-energy-storage-analysts-sees-faster-growth-from-storage-systems-though-from-lower-base/",0.95,0.25,0,0,43
"rare earth","Lithium miner Ioneer eyes bid for Rio’s US boron unit - Mining.com","https://www.mining.com/web/lithium-miner-ioneer-eyes-bid-for-rios-us-boron-unit/",0.95,0.5833,0,0.1,63
"rare earth","Advanced battery storage systems for renewable energy - Mining.com","https://www.mining.com/web/lithium-may-get-much-needed-demand-boost-from-battery-storage/advanced-battery-storage-systems-for-renewable-energy/",0.95,0,0,0,28
"rare earth","Teck joins Centerra as 9.9% shareholder in Metal Energy - Mining.com","https://www.mining.com/teck-joins-centerra-as-9-9-shareholder-in-metal-energy/",0.95,0.25,0,0,43
"rare earth","Philippines says fishermen hurt, boats damaged by China in South China Sea - Reuters","https://www.reuters.com/world/china/philippines-says-fishermen-hurt-boats-damaged-by-china-south-china-sea-2025-12-13/",0.98,0,0,0,28.48
"rare earth","BMC Minerals makes ASX debut in $66M IPO - Mining.com","https://www.mining.com/bmc-minerals-makes-asx-debut-in-66m-ipo/",0.95,0.6667,0,0.4,68
"rare earth","South Africa’s low-cost high-value rare earths heading for 2026 global market entry - Mining Weekly","https://www.miningweekly.com/article/south-africas-low-cost-high-value-rare-earths-heading-for-2026-global-market-entry-2025-12-10",0.5,0.8333,0,0.5,70.8
"rare earth","Carina Rare-Earth Project, Brazil - Mining Technology","https://www.mining-technology.com/projects/carina-rare-earth-project-brazil/",0.5,0.75,0,0.2,65.8
"rare earth","Morningstar starts coverage on Australia's Lynas, sees shares overpriced - TradingView","https://www.tradingview.com/news/reuters.com,2025:newsml_L6N3XD04V:0-morningstar-starts-coverage-on-australia-s-lynas-sees-shares-overpriced/",0.5,0.6667,0,-0.3,60.8
"rare earth","US Energy Department offers $134M to boost rare earth recovery projects - Utility Dive","https://www.utilitydive.com/news/us-energy-department-134m-rare-earth-recovery/807286/",0.92,0.8333,0,0.3,77.52
"rare earth","Palmetto Grain Brokerage - - Palmetto Grain Brokerage","https://www.palmettograin.com/news/story/36582014/usa-rare-earth-just-revved-up-its-commercial-timeline-should-you-buy-usar-stock-here",0.5,0.8333,0,0.6,70.8
"rare earth","GE Vernova working with US government to boost stocks of rare earth yttrium - Reuters","https://www.reuters.com/business/energy/ge-vernova-working-with-us-government-boost-stocks-rare-earth-yttrium-2025-12-10/",0.98,0.8333,0,0.2,78.48
"rare earth","Congo miners urge urgent talks to clear cobalt export backlog - KITCO","https://www.kitco.com/news/off-the-wire/2025-12-08/congo-miners-urge-urgent-talks-clear-cobalt-export-backlog",0.5,0.75,0,-0.3,65.8
"rare earth","China Trade Surplus Tops $1 Trillion On Non-US Growth - Marine Link","https://www.marinelink.com/news/china-trade-surplus-tops-trillion-nonus-533254",0.5,0.5833,0,-0.2,55.8
