keyword,title,url,snippet,final_score,sentiment_score
,"The Rare Earth Metal Driving Tensions Between the US and China - WIRED",https://www.wired.com/story/yttrium-rare-earth-metal-china-us/,"",77.5,-0.85
,"Australian miners thrust into spotlight as yttrium rockets 4,000% - Mining.com.au",https://mining.com.au/australian-miners-thrust-into-spotlight-as-yttrium-rockets-4000/,"",77.5,0.8
,"2 Monster Stocks to Hold for the Next 5 Years - The Motley Fool",https://www.fool.com/investing/2025/11/30/2-monster-stocks-to-hold-for-the-next-5-years/,"",77.5,0.9
,"Hydropower, Energy Dominance, And Tribal Rights - CleanTechnica",https://cleantechnica.com/2025/11/30/hydropower-energy-dominance-and-tribal-rights/,"",77.5,-0.7
,"Intel Stock Price Forecast 2026: Can INTC’s AI and Apple Hopes Power the Next Leg Higher? - ts2.tech",https://ts2.tech/en/intel-stock-price-forecast-2026-can-intcs-ai-and-apple-hopes-power-the-next-leg-higher/,"",77.5,0.4
