keyword,title,url,source_credibility,materiality_score,pickup_count,sentiment_score,final_score
"bitcoin","Billionaire Michael Saylor Announces New $1 Billion Bitcoin Purchase – Does He Know Something is Coming?","https://finance.yahoo.com/news/billionaire-michael-saylor-announces-1-133134376.html",0.8,0.5833,0,0.2,60.6
"bitcoin","Bitcoin investor plans Caribbean community — with its own court system","https://www.ft.com/content/cd171921-a0f5-49d9-a383-41a37e34dbb4",0.98,0,0,0,28.48
"bitcoin","45% of Gen Z adults say they would be happy to receive crypto as a gift this holiday season—here's what experts say - CNBC","https://www.cnbc.com/2025/12/15/gifting-crypto-this-holiday-season-what-experts-say-to-know-first.html",0.85,0.5,0,0.3,56.4
"bitcoin","$1 Billion Blitz: Saylor's Bitcoin Binge Shocks Wall Street--Again - Yahoo Finance","https://finance.yahoo.com/news/1-billion-blitz-saylors-bitcoin-181245069.html",0.8,0.75,0,0.3,70.6
"bitcoin","Crypto exchange Hashkey raises $206 million in Hong Kong IPO, source says - Reuters","https://www.reuters.com/world/asia-pacific/crypto-exchange-hashkey-raises-206-million-hong-kong-ipo-source-says-2025-12-15/",0.98,0.4167,0,-0.3,53.48
"bitcoin","JPMorgan unveils its latest crypto move with a new tokenized money market fund - Business Insider","https://www.businessinsider.com/jpmorgan-tokenized-money-market-fund-ethereum-blockchain-crypto-eth-2025-12",0.78,0.75,0,0.4,70.28
"bitcoin","American Bitcoin Skyrockets Holdings: Strategic 613 BTC Surge Signals Confidence - Bitget","https://www.bitget.com/amp/news/detail/12560605110211",0.5,0.5833,0,0.5,55.8
"bitcoin","American Bitcoin buys additional 261 Bitcoin… holds 5044 BTC in total - bloomingbit","https://bloomingbit.io/en/feed/news/102479",0.5,0.5,0,0.1,50.8
"bitcoin","The Swiss city that lets you pay for most things with bitcoin - BBC","https://www.bbc.com/news/articles/c0r959n91p4o",0.89,0.5833,0,0.3,62.04
"bitcoin","Hut 8 Stock (NASDAQ: HUT) Slides 13% on Dec. 15, 2025 as Bitcoin Falls and American Bitcoin (ABTC) Drags Sentiment - ts2.tech","https://ts2.tech/en/hut-8-stock-nasdaq-hut-slides-13-on-dec-15-2025-as-bitcoin-falls-and-american-bitcoin-abtc-drags-sentiment/",0.5,0.75,0,-0.6,65.8
"bitcoin","Crypto This Week & Week Ahead (Dec. 13, 2025): Bitcoin Near $90K as U.S. Bank Charters, a Staked Ethereum ETF Filing, and Tokenization Headlines Reshape the Market - ts2.tech","https://ts2.tech/en/crypto-this-week-week-ahead-dec-13-2025-bitcoin-near-90k-as-u-s-bank-charters-a-staked-ethereum-etf-filing-and-tokenization-headlines-reshape-the-market/",0.5,0.75,0,0.25,65.8
"bitcoin","Retail Bitcoin Activity Hits Historic Lows as Binance Bets Its Future on Abu Dhabi - ts2.tech","https://ts2.tech/en/retail-bitcoin-activity-hits-historic-lows-as-binance-bets-its-future-on-abu-dhabi/",0.5,0.8333,0,-0.1,70.8
"bitcoin","There's no Dow or S&P 500 for cryptocurrencies yet. Bitwise is getting a step closer with new ETF - CNBC","https://www.cnbc.com/2025/12/09/theres-no-dow-or-sp-500-for-cryptocurrencies-yet-bitwise-is-getting-a-step-closer-with-new-etf.html",0.85,0.75,0,0.3,71.4
