keyword,title,url,source_credibility,materiality_score,pickup_count,sentiment_score,final_score
"bitcoin","This bank just halved its bitcoin price target down from $200,000. Here’s why. - MarketWatch","https://www.marketwatch.com/story/standard-chartered-is-finally-slashing-its-bitcoin-target-by-half-heres-why-3e7c726b",0.82,0.75,0,0,70.92
"bitcoin","One of bitcoin's biggest bulls just slashed their forecast in half - Business Insider","https://www.businessinsider.com/bitcoin-price-prediction-btc-2026-forecast-standard-chartered-150k-2025-12",0.78,0.75,0,0,70.28
"bitcoin","Kazakhmys says it will have new controlling shareholder - Mining.com","https://www.mining.com/web/kazakhmys-says-it-will-have-new-controlling-shareholder/",0.95,0.3333,0,0,48
"bitcoin","Comparative evaluation and simulation of blockchain consensus mechanisms for secure and scalable peer to peer energy trading in microgrids - Nature","https://www.nature.com/articles/s41598-025-27431-w",0.99,0.4167,0,0,53.64
"bitcoin","Coupang breach a ‘double-edged sword’ for Chinese rivals due to security concerns: KB Securities - CNBC","https://www.cnbc.com/video/2025/12/10/coupang-breach-a-adouble-edged-sworda-for-chinese-rivals-due-to-security-concerns-kb-securities.html",0.85,0,0,0,26.4
"bitcoin","Retail investors are cautiously optimistic, says Investopedia's Caleb Silver - CNBC","https://www.cnbc.com/video/2025/12/09/retail-investors-are-cautiously-optimistic-investopedia-survey.html",0.85,0,0,0,26.4
"bitcoin","Jay Clayton: We are going to target open-air drug markets and bring them to an end - CNBC","https://www.cnbc.com/video/2025/12/10/jay-clayton-we-are-going-to-target-open-air-drug-markets-and-bring-them-to-an-end.html",0.85,0,0,0,26.4
"bitcoin","Should You Buy Bitcoin While It's Under $100,000? - The Motley Fool","https://www.fool.com/investing/2025/12/05/should-you-buy-bitcoin-while-its-under-100000/",0.5,0.5833,0,0,55.8
"bitcoin","Bitdeer reduces Bitcoin holdings by 148.5. * Bitcoin (BTC) mining company **Bitdeer** said it reduced its **Bitcoin holdings** over the past week. * Bitdeer mined 131.5 **bitcoins**, and sold 130 of them as reported. * According to this weekly report, Bitdeer's **Bitcoin holdings** decreased to 1992.6. * The article was summarized using an artificial intelligence-based language model. Bitcoin (BTC) miner Bitdeer said it reduced its Bitcoin holdings. On the 6th (Korean time), Bitdeer reported its weekly Bitcoin holdings via X(formerly Twitter). Bitdeer mined 131.5 bitcoins and sold 130 of them. The net decrease in Bitcoin was 148.5. As a result, Bitdeer's Bitcoin holdings fell to 1992.6. ## Uk Jin. Feel free to share your thoughts and questions about the news! What did you think of the article you just read? ### PiCK News. #### Galaxy Digital ""Bitcoin treasury hits its limits… some may disappear"". #### U.S. Bitcoin spot ETFs turn to net inflows... 9 hours ago](/en/feed/news/101967). ### Trending News.","https://bloomingbit.io/en/feed/news/101978",0.5,0.5,0,0,50.8
"bitcoin","Cathedra Bitcoin (OTC:CBTTF) Shares Down 2.2% – Here’s What Happened - Defense World","https://www.defenseworld.net/2025/12/06/cathedra-bitcoin-otccbttf-shares-down-2-2-heres-what-happened.html",0.5,0.5,0,0,50.8
"bitcoin","American Bitcoin increases holdings by 363 bitcoins, bringing total holdings to 4,367 bitcoins - Bitget","https://www.bitget.com/amp/news/detail/12560605095940",0.5,0.5,0,0,50.8
"bitcoin","Drones, Fake Birdsong, and Broken Glass Traps: Malaysia is Undergoing an Unprecedented 'Bitcoin Crackdown' - Bitget","https://www.bitget.com/amp/news/detail/12560605099899",0.5,0.8333,0,0,70.8
"bitcoin","‘StableChain’ Launch Shows How Far Crypto Has Strayed From Bitcoin’s Original Promise - Gizmodo","https://gizmodo.com/stablechain-launch-shows-how-far-crypto-has-strayed-from-bitcoins-original-promise-2000696959",0.5,0.5833,0,0,55.8
"bitcoin","Green Blockchain Consensus: Balancing Energy Efficiency, Security, And Decentralization - Forbes","https://www.forbes.com/sites/digital-assets/2025/12/04/green-blockchain-consensus-balancing-energy-efficiency-security-and-decentralization/",0.85,0.5833,0,0,61.4
