keyword,title,url,source_credibility,materiality_score,pickup_count,sentiment_score,final_score
"bitcoin","What Is Bitcoin And How Does It Work","https://www.forbes.com/sites/digital-assets/article/what-is-bitcoin-and-how-does-it-work/",0.85,0.5833,0,0.3,61.4
"bitcoin","Bitcoin BTC (BTC-USD) Live Price, News, Chart & ...","https://finance.yahoo.com/quote/BTC-USD/",0.8,0.5,0,-0.1,55.6
"bitcoin","Bitcoin Price | BTC USD | Chart - Markets Insider","https://markets.businessinsider.com/currencies/btc-usd",0.78,0.5833,0,-0.2,60.28
"bitcoin","Is bitcoin really digital gold? It's failed to answer that question","https://www.cnbc.com/2025/12/05/bitcoin-digital-gold-crypto-store-of-value.html",0.85,0.5833,0,-0.3,61.4
"bitcoin","Bitcoin Dips Below $90000 After Fed Cut Widens Stocks Split","https://finance.yahoo.com/news/bitcoin-dips-below-90-000-070401263.html",0.8,0.6667,0,-0.3,65.6
"bitcoin","Bitcoin Price Prediction: Recovery to ...","https://finance.yahoo.com/news/bitcoin-price-prediction-recovery-100-100657135.html",0.8,0.5833,0,-0.2,60.6
"bitcoin","Exploring the potential of cryptocurrencies for positive ...","https://www.un.org/en/desa/exploring-potential-cryptocurrencies-positive-change",0.99,0.5,0,0.2,58.64
"bitcoin","The Swiss city that lets you pay for most things with bitcoin","https://www.bbc.com/news/articles/c0r959n91p4o",0.89,0.6667,0,0.3,67.04
"bitcoin","J.P. Morgan harnesses blockchain for debt issuance amid digital asset adoption boost - Yahoo Finance","https://finance.yahoo.com/news/j-p-morgan-harnesses-blockchain-150155242.html",0.8,0.5833,0,0.2,60.6
"bitcoin","Saylor’s Plan To Build A Bitcoin Powered Shadow Central Bank - Forbes","https://www.forbes.com/sites/digital-assets/2025/12/11/saylors-plan-to-build-a-bitcoin-powered-shadow-central-bank/",0.85,0.6667,0,0.1,66.4
"bitcoin","Nvidia supplier SK Hynix eyes U.S. listing as it expands on the AI boom - cnbc.com","https://www.cnbc.com/2025/12/11/nvidia-supplier-sk-hynix-eyes-us-listing-as-it-expands-on-the-ai-boom-adr.html",0.85,0,0,0,26.4
"bitcoin","Bessent to propose major overhaul of regulatory body created from financial crisis - cnbc.com","https://www.cnbc.com/2025/12/11/bessent-to-propose-major-overhaul-of-regulatory-body-created-from-financial-crisis.html",0.85,0.4167,0,0,51.4
"bitcoin","The Rising Influence Of European Tech Champions: The Companies Driving The Midas List Europe 2025 - Forbes","https://www.forbes.com/sites/truebridge/2025/12/11/the-rising-influence-of-european-tech-champions-the-companies-driving-the-midas-list-europe-2025/",0.85,0,0,0,26.4
"bitcoin","Trade Alert: Joe Terranova sells Uber - CNBC","https://www.cnbc.com/video/2025/12/10/trade-alert-joe-terranova-sells-uber.html",0.85,0,0,0,26.4
"bitcoin","Myriad ups stake in Copper Mountain uranium project in Wyoming to 75%","https://www.mining.com/myriad-ups-stake-in-copper-mountain-uranium-project-in-wyoming-to-75/",0.95,0.1667,0,0,38
"bitcoin","JGBs Rise, Tracking Gains in U.S. Treasurys - The Wall Street Journal","https://www.wsj.com/finance/investing/jgbs-rise-tracking-gains-in-u-s-treasurys-d790b611?gaa_at=eafs&gaa_n=AWEtsqfF6dJQd3DUdi-RR6780qQqkl47iBs0MmQLR1acXkXN9VOvurjACaDe&gaa_ts=693a1266&gaa_sig=h7n0u2Ydd7S7rbfRFgIbHx2hRAa14kGjAcozK5XhmiLw7zUdByXBA6kMn3jOzoS7MFt32Qjw2M3Ex6g6VI2EKg%3D%3D",0.98,0,0,0,28.48
"bitcoin","Josh Brown says this Baby Berkshire Hathaway stock is a buy right now - CNBC","https://www.cnbc.com/2025/12/11/josh-brown-says-this-baby-berkshire-hathaway-stock-is-a-buy-right-now.html",0.85,0,0,0,26.4
"bitcoin","What DoubleLine’s Jeffrey Gundlach is betting on after the Fed decision - CNBC","https://www.cnbc.com/2025/12/10/what-doublelines-jeffrey-gundlach-is-betting-on-after-the-fed-decision.html",0.85,0,0,0,26.4
"bitcoin","Should You Buy Bitcoin While It's Under $100,000? - The Motley Fool","https://www.fool.com/investing/2025/12/05/should-you-buy-bitcoin-while-its-under-100000/",0.5,0.6667,0,0.2,60.8
"bitcoin","Bitdeer reduces Bitcoin holdings by 148.5 - bloomingbit","https://bloomingbit.io/en/feed/news/101978",0.5,0.5,0,0,50.8
"bitcoin","Cathedra Bitcoin (OTC:CBTTF) Shares Down 2.2% – Here’s What Happened - Defense World","https://www.defenseworld.net/2025/12/06/cathedra-bitcoin-otccbttf-shares-down-2-2-heres-what-happened.html",0.5,0.5,0,-0.3,50.8
"bitcoin","Lava Network goes global following MiCA approval, bringing LAVA to exchanges worldwide - Ynetnews","https://www.ynetnews.com/business/article/hjms4kwmwl",0.5,0.6667,0,0.4,60.8
"bitcoin","CryptoFeeDiscount Launches Free Crypto Trading Fee Calculator for Binance, OKX, Bitget, and 25+ Global Exchanges - markets.businessinsider.com","https://markets.businessinsider.com/news/stocks/cryptofeediscount-launches-free-crypto-trading-fee-calculator-for-binance-okx-bitget-and-25-global-exchanges-1035628689",0.78,0.5833,0,0.3,60.28
"bitcoin","CFTC announces listed spot crypto trading on U.S. regulated exchanges: CNBC Crypto World - CNBC","https://www.cnbc.com/video/2025/12/04/cftc-announces-listed-spot-crypto-trading-on-us-regulated-exchanges-cnbc-crypto-world.html",0.85,0.9167,0,0.3,81.4
"bitcoin","Retail Bitcoin Activity Hits Historic Lows as Binance Bets Its Future on Abu Dhabi - ts2.tech","https://ts2.tech/en/retail-bitcoin-activity-hits-historic-lows-as-binance-bets-its-future-on-abu-dhabi/",0.5,0.8333,0,-0.1,70.8
"bitcoin","How to buy Bitcoin Hyper before it launches - New York Post","https://nypost.com/business/how-to-buy-bitcoin-hyper-presale/",0.5,0.5,0,0.1,50.8
"bitcoin","Best Cryptocurrency Stocks Worth Watching – December 5th - Defense World","https://www.defenseworld.net/2025/12/07/best-cryptocurrency-stocks-worth-watching-december-5th.html",0.5,0.4167,0,0,45.8
"bitcoin","ETFs in the Crossfire Amid Bitcoin’s Growing Self-Custody Debate - Yahoo Finance","https://finance.yahoo.com/news/etfs-crossfire-amid-bitcoin-growing-215004125.html",0.8,0.75,0,0.1,70.6
"bitcoin","Is an ETF Safer than an Exchange for Bitcoin? - BeInCrypto","https://beincrypto.com/etfs-crossfire-bitcoin-self-custody-debate/",0.5,0.5833,0,-0.1,55.8
"bitcoin","There's no Dow or S&P 500 for cryptocurrencies yet. Bitwise is getting a step closer with new ETF - CNBC","https://www.cnbc.com/2025/12/09/theres-no-dow-or-sp-500-for-cryptocurrencies-yet-bitwise-is-getting-a-step-closer-with-new-etf.html",0.85,0.6667,0,0.2,66.4
"bitcoin","Crypto SWOT: XRP ETFs continue to post record inflows, signaling rising institutional adoption - KITCO","https://www.kitco.com/opinion/2025-12-08/crypto-swot-xrp-etfs-continue-post-record-inflows-signaling-rising-institutional",0.5,0.6667,0,0.4,60.8
